nom,category_id,categorie,prix_initial,prix_optimal,stock,date_expiration,jours_avant_expiration,supermarche,zone
KAISER Ricotte traditionnelle,1,Produits Laitiers,3.450,,,,,Monoprix,Tunisie
PRESIDENT Fromage fondu goûter,1,Produits Laitiers,3.460,,,,,Monoprix,Tunisie
PRESIDENT Fromage fondu,1,Produits Laitiers,3.530,,,,,Monoprix,Tunisie
PRESIDENT Fromage frais,1,Produits Laitiers,3.540,,,,,Monoprix,Tunisie
FRAIDOUX Fromage frais,1,Produits Laitiers,3.620,,,,,Monoprix,Tunisie
MILKANA Fromage fondu,1,Produits Laitiers,3.660,,,,,Monoprix,Tunisie
DELICE Fromage frais,1,Produits Laitiers,3.700,,,,,Monoprix,Tunisie
FROMY Fromage slice burger,1,Produits Laitiers,3.850,,,,,Monoprix,Tunisie
TOUS LES JOURS Fromage slice emmental,1,Produits Laitiers,3.950,,,,,Monoprix,Tunisie
DAILY Préparation alimentaire slice,1,Produits Laitiers,3.990,,,,,Monoprix,Tunisie
FROMY Fromage fondu rapé,1,Produits Laitiers,4.290,,,,,Monoprix,Tunisie
TARTI FRO Préparation alimentaire...,1,Produits Laitiers,4.310,,,,,Monoprix,Tunisie
PRESIDENT Fromage frais,1,Produits Laitiers,4.330,,,,,Monoprix,Tunisie
DELICE Ricotte,1,Produits Laitiers,4.560,,,,,Monoprix,Tunisie
PRESIDENT Fromage fondu à tartiner,1,Produits Laitiers,4.590,,,,,Monoprix,Tunisie
FROMY Fromage slice burger,1,Produits Laitiers,4.710,,,,,Monoprix,Tunisie
FROMY Fromage slice toast,1,Produits Laitiers,4.710,,,,,Monoprix,Tunisie
DELICE Fromage frais,1,Produits Laitiers,4.750,,,,,Monoprix,Tunisie
MAJESTE Préparation alimentaire à...,1,Produits Laitiers,4.890,,,,,Monoprix,Tunisie
DELICE Fromage tartare,1,Produits Laitiers,5.130,,,,,Monoprix,Tunisie
SAINT MORET Fromage frais à tartiner,1,Produits Laitiers,5.130,,,,,Monoprix,Tunisie
DELICE Fromage tartare,1,Produits Laitiers,5.130,,,,,Monoprix,Tunisie
MILKANA Fromage rapé au gruyère,1,Produits Laitiers,5.230,,,,,Monoprix,Tunisie
