nom,category_id,categorie,prix_initial,prix_optimal,stock,date_expiration,jours_avant_expiration,supermarche,zone
Biscuits Sablito fourrés a l’Abricot,5,Épicerie,2.02,,,,,Otrity,Tunisie
Biscuits Sablito fourrés à la Fraise,5,Épicerie,2.02,,,,,Otrity,Tunisie
Biscuits Sablito fourrés aux Chocolat,5,Épicerie,2.02,,,,,Otrity,Tunisie
Biscuits Sablito fourrés aux figue 140gr,5,Épicerie,1.961,,,,,Otrity,Tunisie
Biscuits SAIDA 24un,5,Épicerie,2.12,,,,,Otrity,Tunisie
Saïda 12 Biscuits,5,Épicerie,1.138,,,,,Otrity,Tunisie
Biscuits Smile au lait et chocolat Kif,5,Épicerie,1.704,,,,,Otrity,Tunisie
Biscuits Smile Chocolat,5,Épicerie,1.704,,,,,Otrity,Tunisie
Biscuits START,5,Épicerie,2.39,,,,,Otrity,Tunisie
Biscuits TUC,5,Épicerie,1.51,,,,,Otrity,Tunisie
Bonbons Happy Full Croco 70g,5,Épicerie,1.249,,,,,Otrity,Tunisie
Bonbons Happy Full Cubies 70g,5,Épicerie,1.249,,,,,Otrity,Tunisie
Bonbons Happy Full Eggzzz 70g,5,Épicerie,1.249,,,,,Otrity,Tunisie
Bonbons Happy Full Fruits 70g,5,Épicerie,1.249,,,,,Otrity,Tunisie
Bonbons Happy Full Rings 70g,5,Épicerie,1.249,,,,,Otrity,Tunisie
Bonbons Happy Full Spider 70g,5,Épicerie,1.249,,,,,Otrity,Tunisie
Bonbons Happy Full Worms 70g,5,Épicerie,1.249,,,,,Otrity,Tunisie
Break Bar Caramel,5,Épicerie,0.8,,,,,Otrity,Tunisie
Break Chocolat,5,Épicerie,0.574,,,,,Otrity,Tunisie
Break Vanille,5,Épicerie,0.574,,,,,Otrity,Tunisie
Brownie Saïda Chocolat,5,Épicerie,0.889,,,,,Otrity,Tunisie
Cacao en Poudre 250 g,5,Épicerie,9.3,,,,,Otrity,Tunisie
Café Aroma / moka  Bondin 250g,5,Épicerie,4.97,,,,,Otrity,Tunisie
Café Expresso Pure Bondin 250g,5,Épicerie,4.965,,,,,Otrity,Tunisie
Café Mélange Turc Ben Yedder 125g,5,Épicerie,1.469,,,,,Otrity,Tunisie
Café Turc Ben Yedder 125g,5,Épicerie,2.482,,,,,Otrity,Tunisie
Chaïma Papillon aux Amandes 350g métal,5,Épicerie,10.32,,,,,Otrity,Tunisie
Chips Cheetos 80g,5,Épicerie,4.0,,,,,Otrity,Tunisie
Chips Cheetos 90g,5,Épicerie,4.5,,,,,Otrity,Tunisie
Chips Lays chili et citron 45g,5,Épicerie,2.5,,,,,Otrity,Tunisie
Chips Lays Chilli et Citron 160g,5,Épicerie,6.5,,,,,Otrity,Tunisie
Chips Lays Salt 160g,5,Épicerie,6.5,,,,,Otrity,Tunisie
Chips Lays Salt 43gr,5,Épicerie,2.5,,,,,Otrity,Tunisie
Chocolat au Caramel Club,5,Épicerie,1.8,,,,,Otrity,Tunisie
Chocolat au Cornfleakes Club,5,Épicerie,1.8,,,,,Otrity,Tunisie
Chocolat au Lait fourré à la crème de Noisette Maestro Passion 240gr,5,Épicerie,13.2,,,,,Otrity,Tunisie
Chocolat au Lait Maestro 100 gr,5,Épicerie,4.404,,,,,Otrity,Tunisie
Chocolat au Lait Maestro 30g,5,Épicerie,1.65,,,,,Otrity,Tunisie
Chocolat au Lait Tris,5,Épicerie,1.6,,,,,Otrity,Tunisie
Chocolat aux Noisettes Club,5,Épicerie,1.8,,,,,Otrity,Tunisie
Chocolat aux Noisettes Maestro 100g,5,Épicerie,4.5,,,,,Otrity,Tunisie
Chocolat aux Noisettes Maestro 30g,5,Épicerie,1.7,,,,,Otrity,Tunisie
Chocolat aux Noisettes Tris,5,Épicerie,1.65,,,,,Otrity,Tunisie
Chocolat Cappuccino Club,5,Épicerie,1.8,,,,,Otrity,Tunisie
Chocolat Croquant Tris,5,Épicerie,1.6,,,,,Otrity,Tunisie
Chocolat D-Clic,5,Épicerie,1.18,,,,,Otrity,Tunisie
Chocolat Dessert Said 100g,5,Épicerie,4.2,,,,,Otrity,Tunisie
Chocolat en Poudre Said 200g,5,Épicerie,3.55,,,,,Otrity,Tunisie
